PERFORMANCE BY SECURITY,,,,,,,,,,
Group : 109780        From  01/01/2025  To  31/03/2025   Client Associates,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
ENAM PMS,"24,59,07,991",0,0,"-2,29,22,566","22,29,85,425",-9.32%,-4.57%,-33.06%,-17.47%,BSE 500
ICICI Pru Nifty Bank Index Direct-G,"12,35,07,722",0,0,"16,08,266","12,51,15,988",1.30%,-4.57%,5.45%,-17.47%,BSE 500
Mirae Asset ELSS Tax Saver Direct-G,"34,28,345",0,0,"-1,63,823","32,64,521",-4.78%,-4.57%,-18.19%,-17.47%,BSE 500
Mirae Asset Large and Midcap Direct-G,"1,14,65,426","2,11,50,000",0,"2,90,755","3,29,06,181",1.68%,2.99%,7.07%,12.82%,BSE 500
Renaissance India Next Fund II- 11 Feb-R2EA,"15,69,51,457",0,0,"-2,13,69,027","13,55,82,430",-13.62%,-4.57%,-45.13%,-17.47%,BSE 500
Renaissance India Next Fund II-15 May-R2LA,"2,26,48,259",0,0,"-30,45,245","1,96,03,015",-13.45%,-4.57%,-44.69%,-17.47%,BSE 500
Renaissance India Next Fund II-31 May-R2MA,"9,42,82,810",0,0,"-1,27,46,801","8,15,36,008",-13.52%,-4.57%,-44.88%,-17.47%,BSE 500
SBI Large and Midcap Direct-G,"3,16,53,959","8,20,06,300",0,"7,80,200","11,44,40,460",1.82%,1.02%,7.67%,4.26%,BSE 500
UTI Flexi Cap Direct-G,"48,34,19,503","23,12,500","14,81,428","-2,51,03,577","45,91,46,999",-5.19%,-4.57%,-19.62%,-17.47%,BSE 500
Total : Multi Cap,"2,12,24,52,502","23,80,48,800","22,96,02,045","-15,91,26,468","1,97,17,72,789",-7.56%,-4.96%,-27.57%,-18.84%,BSE 500
Mid-Small Cap,,,,,,,,,,
Abakkus Emerging Opportunities-A2,"21,33,13,977",0,0,"-3,29,31,609","18,03,82,369",-15.44%,-9.66%,-49.73%,-34.08%,Nifty Mid-Cap 100
2,,,,,,,,,,
PRIVATE AND CONFIDENTIAL,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
Alta Cura AI Data Chameleon Fund - Class B4 - 17-Mar-2025,0,"9,00,00,000",0,"70,24,320","9,70,24,320",7.80%,6.62%,609.45%,432.47%,Nifty Mid-Cap 100
Total : Mid-Small Cap,"21,33,13,977","9,00,00,000",0,"-2,59,07,289","27,74,06,689",-11.35%,-6.43%,-38.99%,-23.85%,Nifty Mid-Cap 100
Total : Equity,"3,51,21,42,440","32,80,48,800","41,73,59,336","-21,28,46,657","3,20,99,85,246",-6.14%,-4.86%,-22.89%,-18.47%,NIFTY 500 TRI Benchmark
Debt,,,,,,,,,,
Long Term,,,,,,,,,,
BHARAT Bond FOF - April 2030 Direct-G,"3,36,01,094",0,"3,39,88,366","3,87,272",0,1.15%,1.04%,8.73%,7.87%,CRISIL ST BD
Total : Long Term,"3,36,01,094",0,"3,39,88,366","3,87,272",0,1.15%,1.04%,8.73%,7.87%,CRISIL ST BD
Short & Medium Term,,,,,,,,,,
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60 40 Index Direct-G,"3,06,61,969",0,"3,10,85,283","4,23,314",0,1.43%,1.35%,7.91%,7.45%,CRISIL ST BD
Axis Banking and PSU Debt Direct-G,"2,95,19,620",0,"2,97,17,222","1,97,602",0,1.02%,1.00%,7.68%,7.53%,CRISIL ST BD
Bandhan Banking and PSU Debt Direct-G,"7,02,86,753",0,"7,10,58,143","7,71,391",0,1.14%,1.23%,7.00%,7.62%,CRISIL ST BD
Bandhan Corporate Bond Direct-G,"56,71,770",0,0,"1,34,010","58,05,780",2.36%,2.13%,10.05%,9.03%,CRISIL ST BD
Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50 50 Index Direct-G,"5,21,60,388",0,"5,28,10,288","6,49,900",0,1.25%,1.23%,7.69%,7.57%,CRISIL ST BD
Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50 50 Index Direct-G,"86,81,724",0,"87,98,486","1,16,762",0,1.34%,1.34%,7.43%,7.38%,CRISIL ST BD
HDFC Corporate Bond Direct-G,"5,77,00,987",0,0,"13,74,615","5,90,75,602",2.38%,2.13%,10.14%,9.03%,CRISIL ST BD
ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40 60 Index Direct-G,"9,87,78,563",0,"4,00,12,647","18,18,631","6,05,84,546",2.11%,2.03%,8.93%,8.57%,CRISIL ST BD
Nippon India Banking and PSU Debt Direct-G,"4,30,88,043",0,0,"10,39,875","4,41,27,918",2.41%,2.13%,10.27%,9.03%,CRISIL ST BD
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60 40 Index Direct-G,"2,31,10,342",0,"2,33,99,043","2,88,702",0,1.25%,1.23%,7.71%,7.57%,CRISIL ST BD
SBI Banking and PSU Direct-G,"1,46,20,999",0,"1,47,66,258","1,45,259",0,0.99%,1.04%,7.48%,7.87%,CRISIL ST BD
Total : Short & Medium Term,"43,42,81,157",0,"27,16,47,371","69,60,061","16,95,93,846",2.05%,1.96%,8.69%,8.28%,CRISIL ST BD
Debt Alternative,,,,,,,,,,
ASK Absolute Return Fund,0,"1,03,60,000",0,"33,764","1,03,93,764",0.33%,0.73%,6.45%,15.02%,CRISIL ST BD
ASK Absolute Return Fund,0,"1,72,65,000",0,"56,267","1,73,21,267",0.33%,0.73%,6.45%,15.02%,CRISIL ST BD
3,,,,,,,,,,
PRIVATE AND CONFIDENTIAL,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
Alphamine Absolute Return Fund,"8,17,34,252",0,0,"33,056","8,17,67,308",0.04%,2.13%,0.17%,9.03%,CRISIL ST BD
Alphamine Absolute Return Fund,"8,17,34,252",0,0,"33,056","8,17,67,308",0.04%,2.13%,0.17%,9.03%,CRISIL ST BD
Altacura AI Absolute Return Fund LLP - Class D - 25-May-23,"7,38,26,156",0,0,"13,60,507","7,51,86,663",1.84%,2.13%,7.78%,9.03%,CRISIL ST BD
Altacura AI Absolute Return Fund LLP - Class D - 27-July-23,"1,64,85,930",0,0,"2,67,075","1,67,53,005",1.62%,2.13%,6.81%,9.03%,CRISIL ST BD
Altacura AI Absolute Return Fund LLP - Class D - 28-Dec-23,"80,73,540",0,0,"1,05,202","81,78,742",1.30%,2.13%,5.45%,9.03%,CRISIL ST BD
Altacura AI Absolute Return Fund LLP - Class D - 29-June-23,"24,55,509",0,0,"42,260","24,97,769",1.72%,2.13%,7.25%,9.03%,CRISIL ST BD
Altacura AI Absolute Return Fund LLP - Class D - 31-Aug-23,"4,66,30,407",0,0,"7,00,451","4,73,30,858",1.50%,2.13%,6.31%,9.03%,CRISIL ST BD
Altacura AI Absolute Return Fund LLP - Class D 31-July-24,"5,53,53,294",0,0,"9,25,290","5,62,78,584",1.67%,2.13%,7.04%,9.03%,CRISIL ST BD
Kotak Private Credit Fund,"2,69,07,163","1,45,00,000","18,00,184","15,47,368","4,11,54,347",4.13%,2.17%,18.07%,9.18%,CRISIL ST BD
UTI Structured Debt Opportunities Fund 3 E1,"4,67,50,508","1,01,98,718","10,39,916","7,34,917","5,66,44,228",1.38%,2.15%,5.79%,9.11%,CRISIL ST BD
UTI Structured Debt Opportunities Fund II - CLASS A2 - Regular Units,"3,39,34,983",0,"1,06,58,034","23,04,034","2,55,80,983",8.50%,2.09%,39.71%,8.85%,CRISIL ST BD
Vivriti Alpha Debt Fund,"2,91,67,878",0,"2,28,883","6,28,739","2,95,67,734",2.17%,2.13%,9.21%,9.03%,CRISIL ST BD
Vivriti Alpha Debt Fund,"1,16,65,513",0,"91,540","2,51,460","1,18,25,433",2.17%,2.13%,9.21%,9.03%,CRISIL ST BD
Vivriti Emerging Corporate Bond Fund,"5,18,73,723",0,"19,05,239","16,33,571","5,16,02,054",3.27%,2.13%,14.09%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B ,"1,11,20,169",0,0,"11,496","1,11,31,665",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B ,"1,47,89,825",0,0,"15,290","1,48,05,114",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B - DIR Feb 24,"1,36,19,239",0,0,"14,079","1,36,33,318",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B - DIR Feb 24,"1,10,72,552",0,0,"11,447","1,10,83,999",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B - DIR Jan 21,"1,76,10,210",0,0,"18,205","1,76,28,415",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B - DIR Jan 21,"2,30,28,736",0,0,"23,807","2,30,52,543",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B - DIR July 21,"65,17,816",0,0,"6,738","65,24,554",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
White Space Alpha Fund 2 B - DIR July 21,"1,95,53,447",0,0,"20,214","1,95,73,661",0.10%,2.13%,0.42%,9.03%,CRISIL ST BD
